"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,13_C0001,"HR Slice pH A1",,,,"Citric acid","1.0 M",3.5,,,,,,,,
5,13_C0002,"HR Slice pH A2",,,,"Citric acid","1.0 M",3.8,,,,,,,,
9,13_C0003,"HR Slice pH A3",,,,"Citric acid","1.0 M",4.1,,,,,,,,
13,13_C0004,"HR Slice pH A4",,,,"Citric acid","1.0 M",4.4,,,,,,,,
17,13_C0005,"HR Slice pH A5",,,,"Sodium citrate tribasic dihydrate","1.0 M",3.6,,,,,,,,
21,13_C0006,"HR Slice pH A6",,,,"Sodium citrate tribasic dihydrate","1.0 M",3.9,,,,,,,,
25,13_C0007,"HR Slice pH A7",,,,"Sodium citrate tribasic dihydrate","1.0 M",4.2,,,,,,,,
29,13_C0008,"HR Slice pH A8",,,,"Sodium citrate tribasic dihydrate","1.0 M",4.5,,,,,,,,
33,13_C0009,"HR Slice pH A9",,,,"Sodium acetate trihydrate","1.0 M",3.7,,,,,,,,
37,13_C0010,"HR Slice pH A10",,,,"Sodium acetate trihydrate","1.0 M",4,,,,,,,,
41,13_C0011,"HR Slice pH A11",,,,"Sodium acetate trihydrate","1.0 M",4.3,,,,,,,,
45,13_C0012,"HR Slice pH A12",,,,"Sodium acetate trihydrate","1.0 M",4.6,,,,,,,,
193,13_C0013,"HR Slice pH B1",,,,"Sodium acetate trihydrate","1.0 M",4.9,,,,,,,,
197,13_C0014,"HR Slice pH B2",,,,"DL-Malic acid","1.0 M",4.7,,,,,,,,
201,13_C0015,"HR Slice pH B3",,,,"DL-Malic acid","1.0 M",5,,,,,,,,
205,13_C0016,"HR Slice pH B4",,,,"DL-Malic acid","1.0 M",5.3,,,,,,,,
209,13_C0017,"HR Slice pH B5",,,,"DL-Malic acid","1.0 M",5.6,,,,,,,,
213,13_C0018,"HR Slice pH B6",,,,"DL-Malic acid","1.0 M",5.9,,,,,,,,
217,13_C0019,"HR Slice pH B7",,,,"Succinic acid","1.0 M",4.8,,,,,,,,
221,13_C0020,"HR Slice pH B8",,,,"Succinic acid","1.0 M",5.1,,,,,,,,
225,13_C0021,"HR Slice pH B9",,,,"Succinic acid","1.0 M",5.4,,,,,,,,
229,13_C0022,"HR Slice pH B10",,,,"Succinic acid","1.0 M",5.7,,,,,,,,
233,13_C0023,"HR Slice pH B11",,,,"Succinic acid","1.0 M",6,,,,,,,,
237,13_C0024,"HR Slice pH B12",,,,"Sodium cacodylate trihydrate","1.0 M",5.2,,,,,,,,
385,13_C0025,"HR Slice pH C1",,,,"Sodium cacodylate trihydrate","1.0 M",5.5,,,,,,,,
389,13_C0026,"HR Slice pH C2",,,,"Sodium cacodylate trihydrate","1.0 M",5.8,,,,,,,,
393,13_C0027,"HR Slice pH C3",,,,"Sodium cacodylate trihydrate","1.0 M",6.1,,,,,,,,
397,13_C0028,"HR Slice pH C4",,,,"Sodium cacodylate trihydrate","1.0 M",6.4,,,,,,,,
401,13_C0029,"HR Slice pH C5",,,,"MES monohydrate","1.0 M",5.3,,,,,,,,
405,13_C0030,"HR Slice pH C6",,,,"MES monohydrate","1.0 M",5.6,,,,,,,,
409,13_C0031,"HR Slice pH C7",,,,"MES monohydrate","1.0 M",5.9,,,,,,,,
413,13_C0032,"HR Slice pH C8",,,,"MES monohydrate","1.0 M",6.2,,,,,,,,
417,13_C0033,"HR Slice pH C9",,,,"MES monohydrate","1.0 M",6.5,,,,,,,,
421,13_C0034,"HR Slice pH C10",,,,"BIS-TRIS ","1.0 M",5.7,,,,,,,,
425,13_C0035,"HR Slice pH C11",,,,"BIS-TRIS ","1.0 M",6,,,,,,,,
429,13_C0036,"HR Slice pH C12",,,,"BIS-TRIS ","1.0 M",6.3,,,,,,,,
577,13_C0037,"HR Slice pH D1",,,,"BIS-TRIS ","1.0 M",6.6,,,,,,,,
