"Composite List",,,,,,,,,,,,,,,,
"Well position in plate","Cocktail #","Commercial Code","Chemical Additive","Chemical Formula",Concentration,"Chemical Additive",Concentration,pH,"Chemical Additive",Concentration,"Chemical Additive",Concentration,,,,
1,15_C0001,"HR Slice pH A1",,,,"Citric acid","0.5 M",3.5,"PEG 3350","15% (w/v)",,,,,,
5,15_C0002,"HR Slice pH A2",,,,"Citric acid","0.5 M",3.8,"PEG 3350","15% (w/v)",,,,,,
9,15_C0003,"HR Slice pH A3",,,,"Citric acid","0.5 M",4.1,"PEG 3350","15% (w/v)",,,,,,
13,15_C0004,"HR Slice pH A4",,,,"Citric acid","0.5 M",4.4,"PEG 3350","15% (w/v)",,,,,,
17,15_C0005,"HR Slice pH A5",,,,"Sodium citrate tribasic dihydrate","0.5 M",3.6,"PEG 3350","15% (w/v)",,,,,,
21,15_C0006,"HR Slice pH A6",,,,"Sodium citrate tribasic dihydrate","0.5 M",3.9,"PEG 3350","15% (w/v)",,,,,,
25,15_C0007,"HR Slice pH A7",,,,"Sodium citrate tribasic dihydrate","0.5 M",4.2,"PEG 3350","15% (w/v)",,,,,,
29,15_C0008,"HR Slice pH A8",,,,"Sodium citrate tribasic dihydrate","0.5 M",4.5,"PEG 3350","15% (w/v)",,,,,,
33,15_C0009,"HR Slice pH A9",,,,"Sodium acetate trihydrate","0.5 M",3.7,"PEG 3350","15% (w/v)",,,,,,
37,15_C0010,"HR Slice pH A10",,,,"Sodium acetate trihydrate","0.5 M",4,"PEG 3350","15% (w/v)",,,,,,
41,15_C0011,"HR Slice pH A11",,,,"Sodium acetate trihydrate","0.5 M",4.3,"PEG 3350","15% (w/v)",,,,,,
45,15_C0012,"HR Slice pH A12",,,,"Sodium acetate trihydrate","0.5 M",4.6,"PEG 3350","15% (w/v)",,,,,,
193,15_C0013,"HR Slice pH B1",,,,"Sodium acetate trihydrate","0.5 M",4.9,"PEG 3350","15% (w/v)",,,,,,
197,15_C0014,"HR Slice pH B2",,,,"DL-Malic acid","0.5 M",4.7,"PEG 3350","15% (w/v)",,,,,,
201,15_C0015,"HR Slice pH B3",,,,"DL-Malic acid","0.5 M",5,"PEG 3350","15% (w/v)",,,,,,
205,15_C0016,"HR Slice pH B4",,,,"DL-Malic acid","0.5 M",5.3,"PEG 3350","15% (w/v)",,,,,,
209,15_C0017,"HR Slice pH B5",,,,"DL-Malic acid","0.5 M",5.6,"PEG 3350","15% (w/v)",,,,,,
213,15_C0018,"HR Slice pH B6",,,,"DL-Malic acid","0.5 M",5.9,"PEG 3350","15% (w/v)",,,,,,
217,15_C0019,"HR Slice pH B7",,,,"Succinic acid","0.5 M",4.8,"PEG 3350","15% (w/v)",,,,,,
221,15_C0020,"HR Slice pH B8",,,,"Succinic acid","0.5 M",5.1,"PEG 3350","15% (w/v)",,,,,,
