Composite List,,,,,,,,,,,,,,,,
Well position in plate,Cocktail #,Commercial Code,Chemical Additive,Chemical Formula,Concentration,Chemical Additive,Concentration,pH,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration,Chemical Additive,Concentration
1,22_C0001,HR Slice pH A1,,,,Citric acid,0.5 M,3.5,PEG 3350,15% (w/v),,,,,,
5,22_C0002,HR Slice pH A2,,,,Citric acid,0.5 M,3.8,PEG 3350,15% (w/v),,,,,,
9,22_C0003,HR Slice pH A3,,,,Citric acid,0.5 M,4.1,PEG 3350,15% (w/v),,,,,,
13,22_C0004,HR Slice pH A4,,,,Citric acid,0.5 M,4.4,PEG 3350,15% (w/v),,,,,,
17,22_C0005,HR Slice pH A5,,,,Sodium citrate tribasic dihydrate,0.5 M,3.6,PEG 3350,15% (w/v),,,,,,
21,22_C0006,HR Slice pH A6,,,,Sodium citrate tribasic dihydrate,0.5 M,3.9,PEG 3350,15% (w/v),,,,,,
25,22_C0007,HR Slice pH A7,,,,Sodium citrate tribasic dihydrate,0.5 M,4.2,PEG 3350,15% (w/v),,,,,,
29,22_C0008,HR Slice pH A8,,,,Sodium citrate tribasic dihydrate,0.5 M,4.5,PEG 3350,15% (w/v),,,,,,
33,22_C0009,HR Slice pH A9,,,,Sodium acetate trihydrate,0.5 M,3.7,PEG 3350,15% (w/v),,,,,,
37,22_C0010,HR Slice pH A10,,,,Sodium acetate trihydrate,0.5 M,4,PEG 3350,15% (w/v),,,,,,
41,22_C0011,HR Slice pH A11,,,,Sodium acetate trihydrate,0.5 M,4.3,PEG 3350,15% (w/v),,,,,,
45,22_C0012,HR Slice pH A12,,,,Sodium acetate trihydrate,0.5 M,4.6,PEG 3350,15% (w/v),,,,,,
193,22_C0013,HR Slice pH B1,,,,Sodium acetate trihydrate,0.5 M,4.9,PEG 3350,15% (w/v),,,,,,
197,22_C0014,HR Slice pH B2,,,,DL-Malic acid,0.5 M,4.7,PEG 3350,15% (w/v),,,,,,
201,22_C0015,HR Slice pH B3,,,,DL-Malic acid,0.5 M,5,PEG 3350,15% (w/v),,,,,,
205,22_C0016,HR Slice pH B4,,,,DL-Malic acid,0.5 M,5.3,PEG 3350,15% (w/v),,,,,,
209,22_C0017,HR Slice pH B5,,,,DL-Malic acid,0.5 M,5.6,PEG 3350,15% (w/v),,,,,,
213,22_C0018,HR Slice pH B6,,,,DL-Malic acid,0.5 M,5.9,PEG 3350,15% (w/v),,,,,,
217,22_C0019,HR Slice pH B7,,,,Succinic acid,0.5 M,4.8,PEG 3350,15% (w/v),,,,,,
221,22_C0020,HR Slice pH B8,,,,Succinic acid,0.5 M,5.1,PEG 3350,15% (w/v),,,,,,
225,22_C0021,HR Slice pH B9,,,,Succinic acid,0.5 M,5.4,PEG 3350,15% (w/v),,,,,,
229,22_C0022,HR Slice pH B10,,,,Succinic acid,0.5 M,5.7,PEG 3350,15% (w/v),,,,,,
